,X,sample_uid,tipnamecodes,matrix.species,matrix.subspecies,aos.howardmoore.species,aos.clements.species,iucn.species,howardmoore.family,jetz.tip,notes
1906,1906,2132,Leptop_supcil_LSUMZ28188,Leptopogon superciliaris,hellmayri,Leptopogon superciliaris,Leptopogon superciliaris,Leptopogon superciliaris,Pipromorphidae,Leptopogon_superciliaris,
1907,1907,2138,Leptop_tacski_L7989,Leptopogon taczanowskii,-,Leptopogon taczanowskii,Leptopogon taczanowskii,Leptopogon taczanowskii,Pipromorphidae,Leptopogon_taczanowskii,
1908,1908,2138,Leptop_tacski_L7989,Leptopogon taczanowskii,-,Leptopogon taczanowskii,Leptopogon taczanowskii,Leptopogon taczanowskii,Pipromorphidae,Leptopogon_taczanowskii,
1909,1909,2521,Lesson_oreas_LSU61378,Lessonia oreas,-,Lessonia oreas,Lessonia oreas,Lessonia oreas,Tyrannidae,Lessonia_oreas,
1910,1910,2521,Lesson_oreas_LSU61378,Lessonia oreas,-,Lessonia oreas,Lessonia oreas,Lessonia oreas,Tyrannidae,Lessonia_oreas,
1911,1911,2521,Lesson_oreas_LSU61378,Lessonia oreas,-,Lessonia oreas,Lessonia oreas,Lessonia oreas,Tyrannidae,Lessonia_oreas,
1912,1912,2519,Lesson_rufa_A9938,Lessonia rufa,-,Lessonia rufa,Lessonia rufa,Lessonia rufa,Tyrannidae,Lessonia_rufa,
1913,1913,2519,Lesson_rufa_A9938,Lessonia rufa,-,Lessonia rufa,Lessonia rufa,Lessonia rufa,Tyrannidae,Lessonia_rufa,
1914,1914,2519,Lesson_rufa_A9938,Lessonia rufa,-,Lessonia rufa,Lessonia rufa,Lessonia rufa,Tyrannidae,Lessonia_rufa,
1915,1915,1619,Limnoct_rectri_A12093,Limnoctites rectirostris,-,Limnoctites rectirostris,Limnoctites rectirostris,Limnoctites rectirostris,Furnariidae,Limnoctites_rectirostris,
1916,1916,1619,Limnoct_rectri_A12093,Limnoctites rectirostris,-,Limnoctites rectirostris,Limnoctites rectirostris,Limnoctites rectirostris,Furnariidae,Limnoctites_rectirostris,
1917,1917,1619,Limnoct_rectri_A12093,Limnoctites rectirostris,-,Limnoctites rectirostris,Limnoctites rectirostris,Limnoctites rectirostris,Furnariidae,Limnoctites_rectirostris,
1918,1918,1316,Limnorn_curvi_L52024,Limnornis curvirostris,-,Limnornis curvirostris,Limnornis curvirostris,Limnornis curvirostris,Furnariidae,Limnornis_curvirostris,
1919,1919,1316,Limnorn_curvi_L52024,Limnornis curvirostris,-,Limnornis curvirostris,Limnornis curvirostris,Limnornis curvirostris,Furnariidae,Limnornis_curvirostris,
