,sample_uid,tipnamecodes,matrix.species,matrix.subspecies,aos.howardmoore.species,aos.clements.species,iucn.species,howardmoore.family,jetz.species,notes
727,1631,Crani_sulera_L52009,Cranioleuca sulphurifera,-,Cranioleuca sulphurifera,Cranioleuca sulphurifera,Cranioleuca sulphurifera,Furnariidae,,
728,1629,Crani_vulcel_L3181,Cranioleuca vulpecula,-,Cranioleuca vulpecula,Cranioleuca vulpecula,Cranioleuca vulpecula,Furnariidae,,
729,1629,Crani_vulcel_L3181,Cranioleuca vulpecula,-,Cranioleuca vulpecula,Cranioleuca vulpecula,Cranioleuca vulpecula,Furnariidae,,
730,1629,Crani_vulcel_L3181,Cranioleuca vulpecula,-,Cranioleuca vulpecula,Cranioleuca vulpecula,Cranioleuca vulpecula,Furnariidae,,
731,1625,Crani_vulina_L25425,Cranioleuca vulpina,vulpina,Cranioleuca vulpina,Cranioleuca vulpina,Cranioleuca vulpina,Furnariidae,,
732,1625,Crani_vulina_L25425,Cranioleuca vulpina,vulpina,Cranioleuca vulpina,Cranioleuca vulpina,Cranioleuca vulpina,Furnariidae,,
733,1625,Crani_vulina_L25425,Cranioleuca vulpina,vulpina,Cranioleuca vulpina,Cranioleuca vulpina,Cranioleuca vulpina,Furnariidae,,
734,NA,,Cranoleuca marcapatae,,Cranioleuca marcapatae,Cranioleuca marcapatae,Cranioleuca weskei,Furnariidae,,missing from tree and split by IUCN
735,3079,Crypto_holoch_L5505,Cryptopipo holochlora,holochlora,Cryptopipo holochlora,Cryptopipo holochlora,Cryptopipo holochlora,Pipridae,,
736,3079,Crypto_holoch_L5505,Cryptopipo holochlora,holochlora,Cryptopipo holochlora,Cryptopipo holochlora,Cryptopipo holochlora,Pipridae,,
737,200134,Crypto_holoch_LSU11810,Cryptopipo holochlora,litae,Cryptopipo holochlora,Cryptopipo holochlora,Cryptopipo litae,Pipridae,,
738,3079,Crypto_holoch_L5505,Cryptopipo holochlora,holochlora,Cryptopipo holochlora,Cryptopipo holochlora,Cryptopipo holochlora,Pipridae,,
739,200134,Crypto_holoch_LSU11810,Cryptopipo holochlora,litae,Cryptopipo holochlora,Cryptopipo holochlora,Cryptopipo litae,Pipridae,,
740,2161,Culici_cauuta_L15410,Culicivora caudacuta,-,Culicivora caudacuta,Culicivora caudacuta,Culicivora caudacuta,Tyrannidae,,
741,2161,Culici_cauuta_L15410,Culicivora caudacuta,-,Culicivora caudacuta,Culicivora caudacuta,Culicivora caudacuta,Tyrannidae,,
742,2161,Culici_cauuta_L15410,Culicivora caudacuta,-,Culicivora caudacuta,Culicivora caudacuta,Culicivora caudacuta,Tyrannidae,,
743,62,Cymlai_lintus_MZU92809,Cymbilaimus lineatus,intermedius,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Thamnophilidae,,
744,200011,Cymlai_lintus_GBR163161,Cymbilaimus lineatus,intermedius,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Thamnophilidae,,
745,60,Cymlai_lintus_IN1551,Cymbilaimus lineatus,lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Thamnophilidae,,
746,61,Cymlai_lintus_LSU28690,Cymbilaimus lineatus,fasciatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Thamnophilidae,,
747,200011,Cymlai_lintus_GBR163161,Cymbilaimus lineatus,intermedius,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Thamnophilidae,,
748,60,Cymlai_lintus_IN1551,Cymbilaimus lineatus,lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Thamnophilidae,,
749,61,Cymlai_lintus_LSU28690,Cymbilaimus lineatus,fasciatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Thamnophilidae,,
750,62,Cymlai_lintus_MZU92809,Cymbilaimus lineatus,intermedius,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Thamnophilidae,,
751,60008,Cymlai_lintus_LSU75208,Cymbilaimus lineatus,,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Thamnophilidae,,
752,60009,Cymlai_lintus_LSU77756,Cymbilaimus lineatus,,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Thamnophilidae,,
753,60007,Cymlai_lintus_LSU4308,Cymbilaimus lineatus,,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Thamnophilidae,,
754,60010,Cymlai_lintus_INPA1547,Cymbilaimus lineatus,,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Thamnophilidae,,
755,63,Cymlai_saniae_F389851,Cymbilaimus sanctaemariae,-,Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,Thamnophilidae,,
756,63,Cymlai_saniae_F389851,Cymbilaimus sanctaemariae,-,Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,Thamnophilidae,,
757,63,Cymlai_saniae_F389851,Cymbilaimus sanctaemariae,-,Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,Thamnophilidae,,
758,11,Cymrhy_macrhy_L61536,Cymbirhynchus macrorhynchos,macrorhynchos,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,Eurylaimidae,,
759,11,Cymrhy_macrhy_L61536,Cymbirhynchus macrorhynchos,macrorhynchos,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,Eurylaimidae,,
760,11,Cymrhy_macrhy_L61536,Cymbirhynchus macrorhynchos,macrorhynchos,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,Eurylaimidae,,
761,NA,,Cymbirhynchus macrorhynchos,,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,Cymbirhynchus affinis,Eurylaimidae,,missing from tree and split by IUCN
762,1118,Decony_loncau_SP94030,Deconychura longicauda,longicauda,Deconychura longicauda,Deconychura longicauda,Deconychura longicauda,Dendrocolaptidae,,
763,1118,Decony_loncau_SP94030,Deconychura longicauda,longicauda,Deconychura longicauda,Deconychura longicauda,Deconychura longicauda,Dendrocolaptidae,,
764,1118,Decony_loncau_SP94030,Deconychura longicauda,longicauda,Deconychura longicauda,Deconychura longicauda,Deconychura longicauda,Dendrocolaptidae,,
765,NA,,Deconychura longicauda,,Deconychura longicauda,Deconychura longicauda,Deconychura pallida,Dendrocolaptidae,,missing from tree and split by IUCN
766,NA,,Deconychura longicauda,,Deconychura longicauda,Deconychura longicauda,Deconychura typica,Dendrocolaptidae,,missing from tree and split by IUCN
767,200582,Decony_spnov_B93481,Deconychura sp. nov.,,Deconychura longicauda,Deconychura longicauda,Deconychura longicauda,Dendrocolaptidae,,
768,2870,Deltar_flamtus_W101150,Deltarhynchus flammulatus,-,Deltarhynchus flammulatus,Deltarhynchus flammulatus,Deltarhynchus flammulatus,Tyrannidae,,
769,2870,Deltar_flamtus_W101150,Deltarhynchus flammulatus,-,Deltarhynchus flammulatus,Deltarhynchus flammulatus,Deltarhynchus flammulatus,Tyrannidae,,
770,1136,Dendre_rufula_F389815,Dendrexetastes rufigula,monileger ,Dendrexetastes rufigula,Dendrexetastes rufigula,Dendrexetastes rufigula,Dendrocolaptidae,,
771,1136,Dendre_rufula_F389815,Dendrexetastes rufigula,monileger ,Dendrexetastes rufigula,Dendrexetastes rufigula,Dendrexetastes rufigula,Dendrocolaptidae,,
772,1137,Dendre_rufula_L4562,Dendrexetastes rufigula,devillei,Dendrexetastes rufigula,Dendrexetastes rufigula,Dendrexetastes rufigula,Dendrocolaptidae,,
773,1136,Dendre_rufula_F389815,Dendrexetastes rufigula,monileger ,Dendrexetastes rufigula,Dendrexetastes rufigula,Dendrexetastes rufigula,Dendrocolaptidae,,
774,1137,Dendre_rufula_L4562,Dendrexetastes rufigula,devillei,Dendrexetastes rufigula,Dendrexetastes rufigula,Dendrexetastes rufigula,Dendrocolaptidae,,
775,1130,Dencinc_anaina_L17144,Dendrocincla anabatina,anabatina,Dendrocincla anabatina,Dendrocincla anabatina,Dendrocincla anabatina,Dendrocolaptidae,,
776,1130,Dencinc_anaina_L17144,Dendrocincla anabatina,anabatina,Dendrocincla anabatina,Dendrocincla anabatina,Dendrocincla anabatina,Dendrocolaptidae,,
777,1130,Dencinc_anaina_L17144,Dendrocincla anabatina,anabatina,Dendrocincla anabatina,Dendrocincla anabatina,Dendrocincla anabatina,Dendrocolaptidae,,
778,1126,Dencinc_fulnos_L55317,Dendrocincla fuliginosa,fuliginosa,Dendrocincla fuliginosa,Dendrocincla fuliginosa,Dendrocincla fuliginosa,Dendrocolaptidae,,
779,1126,Dencinc_fulnos_L55317,Dendrocincla fuliginosa,fuliginosa,Dendrocincla fuliginosa,Dendrocincla fuliginosa,Dendrocincla fuliginosa,Dendrocolaptidae,,
780,1126,Dencinc_fulnos_L55317,Dendrocincla fuliginosa,fuliginosa,Dendrocincla fuliginosa,Dendrocincla fuliginosa,Dendrocincla fuliginosa,Dendrocolaptidae,,
781,1126,Dencinc_fulnos_L55317,Dendrocincla fuliginosa,fuliginosa,Dendrocincla fuliginosa,Dendrocincla fuliginosa,Dendrocincla fuliginosa,Dendrocolaptidae,,
782,1128,Dencinc_fulnos_LSUMZ52931,Dendrocincla fuliginosa,ridwayi (meruloides group),Dendrocincla fuliginosa,Dendrocincla fuliginosa,Dendrocincla fuliginosa,Dendrocolaptidae,,
783,1124,Dencinc_homroa_L19281,Dendrocincla homochroa,homochroa,Dendrocincla homochroa,Dendrocincla homochroa,Dendrocincla homochroa,Dendrocolaptidae,,
784,1124,Dencinc_homroa_L19281,Dendrocincla homochroa,homochroa,Dendrocincla homochroa,Dendrocincla homochroa,Dendrocincla homochroa,Dendrocolaptidae,,
785,1124,Dencinc_homroa_L19281,Dendrocincla homochroa,homochroa,Dendrocincla homochroa,Dendrocincla homochroa,Dendrocincla homochroa,Dendrocolaptidae,,
786,1122,Dencinc_merula_LSU20456,Dendrocincla merula,merula,Dendrocincla merula,Dendrocincla merula,Dendrocincla merula,Dendrocolaptidae,,
787,1122,Dencinc_merula_LSU20456,Dendrocincla merula,merula,Dendrocincla merula,Dendrocincla merula,Dendrocincla merula,Dendrocolaptidae,,
788,1122,Dencinc_merula_LSU20456,Dendrocincla merula,merula,Dendrocincla merula,Dendrocincla merula,Dendrocincla merula,Dendrocolaptidae,,
789,1132,Dencinc_turdi_L25911,Dendrocincla turdina,-,Dendrocincla turdina,Dendrocincla turdina,Dendrocincla turdina,Dendrocolaptidae,,
790,1132,Dencinc_turdi_L25911,Dendrocincla turdina,-,Dendrocincla turdina,Dendrocincla turdina,Dendrocincla turdina,Dendrocolaptidae,,
791,1132,Dencinc_turdi_L25911,Dendrocincla turdina,-,Dendrocincla turdina,Dendrocincla turdina,Dendrocincla turdina,Dendrocolaptidae,,
792,1120,Dencinc_tyrina_L12108,Dendrocincla tyrannina,tyrannina,Dendrocincla tyrannina,Dendrocincla tyrannina,Dendrocincla tyrannina,Dendrocolaptidae,,
793,1120,Dencinc_tyrina_L12108,Dendrocincla tyrannina,tyrannina,Dendrocincla tyrannina,Dendrocincla tyrannina,Dendrocincla tyrannina,Dendrocolaptidae,,
794,1143,Dencol_certh_L48421,Dendrocolaptes certhia,certhia,Dendrocolaptes certhia,Dendrocolaptes certhia,Dendrocolaptes certhia,Dendrocolaptidae,,
795,1143,Dencol_certh_L48421,Dendrocolaptes certhia,certhia,Dendrocolaptes certhia,Dendrocolaptes certhia,Dendrocolaptes certhia,Dendrocolaptidae,,
796,1143,Dencol_certh_L48421,Dendrocolaptes certhia,certhia,Dendrocolaptes certhia,Dendrocolaptes certhia,Dendrocolaptes certhia,Dendrocolaptidae,,
797,1143,Dencol_certh_L48421,Dendrocolaptes certhia,certhia,Dendrocolaptes certhia,Dendrocolaptes certhia,Dendrocolaptes certhia,Dendrocolaptidae,,
798,1143,Dencol_certh_L48421,Dendrocolaptes certhia,certhia,Dendrocolaptes certhia,Dendrocolaptes certhia,Dendrocolaptes certhia,Dendrocolaptidae,,
