,sample_uid,tipnamecodes,matrix.species,matrix.subspecies,aos.howardmoore.species,aos.clements.species,iucn.species,howardmoore.family,jetz.species,notes
1,3314,Acanth_chlris_O3RIFL,Acanthisitta chloris,?,Acanthisitta chloris,Acanthisitta chloris,Acanthisitta chloris,Acanthisittidae,,outgroup
2,3314,Acanth_chlris_O3RIFL,Acanthisitta chloris,?,Acanthisitta chloris,Acanthisitta chloris,Acanthisitta chloris,Acanthisittidae,,outgroup
3,1597,Acroba_fon_L26329,Acrobatornis fonsecai,-,Acrobatornis fonsecai,Acrobatornis fonsecai,Acrobatornis fonsecai,Furnariidae,,
4,884,Acropt_ortnyx_L30027,Acropternis orthonyx,infuscatus,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,,
5,884,Acropt_ortnyx_L30027,Acropternis orthonyx,infuscatus,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,,
6,200000,Acropt_ortnyx_PhAMC1246,Acropternis orthonyx,orthonyx,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,,
7,884,Acropt_ortnyx_L30027,Acropternis orthonyx,infuscatus,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,,
8,200000,Acropt_ortnyx_PhAMC1246,Acropternis orthonyx,orthonyx,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,,
9,2583,Agrior_albcau_L72330,Agriornis albicauda,albicauda,Agriornis albicauda,Agriornis albicauda,Agriornis albicauda,Tyrannidae,,
10,2583,Agrior_albcau_L72330,Agriornis albicauda,albicauda,Agriornis albicauda,Agriornis albicauda,Agriornis albicauda,Tyrannidae,,
11,2583,Agrior_albcau_L72330,Agriornis albicauda,albicauda,Agriornis albicauda,Agriornis albicauda,Agriornis albicauda,Tyrannidae,,
12,2585,Agrior_livid_YPM83046,Agriornis lividus,fortis,Agriornis lividus,Agriornis lividus,Agriornis lividus,Tyrannidae,,
13,2585,Agrior_livid_YPM83046,Agriornis lividus,fortis,Agriornis lividus,Agriornis lividus,Agriornis lividus,Tyrannidae,,
14,2587,Agrior_micro_A13502,Agriornis micropterus,micropterus,Agriornis micropterus,Agriornis micropterus,Agriornis micropterus,Tyrannidae,,
15,2587,Agrior_micro_A13502,Agriornis micropterus,micropterus,Agriornis micropterus,Agriornis micropterus,Agriornis micropterus,Tyrannidae,,
16,2581,Agrior_montan_L6710,Agriornis montanus,intermedius,Agriornis montanus,Agriornis montanus,Agriornis montanus,Tyrannidae,,
17,2581,Agrior_montan_L6710,Agriornis montanus,intermedius,Agriornis montanus,Agriornis montanus,Agriornis montanus,Tyrannidae,,
18,2589,Agrior_murnus_K11848,Agriornis murinus,-,Agriornis murinus,Agriornis murinus,Agriornis murinus,Tyrannidae,,
19,2589,Agrior_murnus_K11848,Agriornis murinus,-,Agriornis murinus,Agriornis murinus,Agriornis murinus,Tyrannidae,,
20,2589,Agrior_murnus_K11848,Agriornis murinus,-,Agriornis murinus,Agriornis murinus,Agriornis murinus,Tyrannidae,,
21,650,Akleto_goeld_LSU21212,Akletos goeldii,-,Akletos goeldii,Akletos goeldii,Akletos goeldii,Thamnophilidae,,
22,200076,Akleto_goeld_LSU9293,Akletos goeldii,-,Akletos goeldii,Akletos goeldii,Akletos goeldii,Thamnophilidae,,
23,650,Akleto_goeld_LSU21212,Akletos goeldii,-,Akletos goeldii,Akletos goeldii,Akletos goeldii,Thamnophilidae,,
24,200076,Akleto_goeld_LSU9293,Akletos goeldii,-,Akletos goeldii,Akletos goeldii,Akletos goeldii,Thamnophilidae,,
25,647,Akleto_melcep_L43013,Akletos melanoceps,-,Akletos melanoceps,Akletos melanoceps,Akletos melanoceps,Thamnophilidae,,
26,647,Akleto_melcep_L43013,Akletos melanoceps,-,Akletos melanoceps,Akletos melanoceps,Akletos melanoceps,Thamnophilidae,,
27,647,Akleto_melcep_L43013,Akletos melanoceps,-,Akletos melanoceps,Akletos melanoceps,Akletos melanoceps,Thamnophilidae,,
28,2637,Alectr_risora_K3430,Alectrurus risora,-,Alectrurus risora,Alectrurus risora,Alectrurus risora,Tyrannidae,,
29,2637,Alectr_risora_K3430,Alectrurus risora,-,Alectrurus risora,Alectrurus risora,Alectrurus risora,Tyrannidae,,
30,2637,Alectr_risora_K3430,Alectrurus risora,-,Alectrurus risora,Alectrurus risora,Alectrurus risora,Tyrannidae,,
31,2635,Alectr_tricol_K3596,Alectrurus tricolor,-,Alectrurus tricolor,Alectrurus tricolor,Alectrurus tricolor,Tyrannidae,,
32,2635,Alectr_tricol_K3596,Alectrurus tricolor,-,Alectrurus tricolor,Alectrurus tricolor,Alectrurus tricolor,Tyrannidae,,
33,2635,Alectr_tricol_K3596,Alectrurus tricolor,-,Alectrurus tricolor,Alectrurus tricolor,Alectrurus tricolor,Tyrannidae,,
34,639,Ammona_pelzel_L7523,Ammonastes pelzelni,-,Ammonastes pelzelni,Ammonastes pelzelni,Ammonastes pelzelni,Thamnophilidae,,
35,639,Ammona_pelzel_L7523,Ammonastes pelzelni,-,Ammonastes pelzelni,Ammonastes pelzelni,Ammonastes pelzelni,Thamnophilidae,,
36,639,Ammona_pelzel_L7523,Ammonastes pelzelni,-,Ammonastes pelzelni,Ammonastes pelzelni,Ammonastes pelzelni,Thamnophilidae,,
37,2933,Ampide_tschu_L33807,Ampelioides tschudii,-,Ampelioides tschudii,Ampelioides tschudii,Ampelioides tschudii,Cotingidae,,
38,2933,Ampide_tschu_L33807,Ampelioides tschudii,-,Ampelioides tschudii,Ampelioides tschudii,Ampelioides tschudii,Cotingidae,,
39,2933,Ampide_tschu_L33807,Ampelioides tschudii,-,Ampelioides tschudii,Ampelioides tschudii,Ampelioides tschudii,Cotingidae,,
40,2947,Ampion_rubcri_L32291,Ampelion rubrocristatus,-,Ampelion rubrocristatus,Ampelion rubrocristatus,Ampelion rubrocristatus,Cotingidae,,
41,2947,Ampion_rubcri_L32291,Ampelion rubrocristatus,-,Ampelion rubrocristatus,Ampelion rubrocristatus,Ampelion rubrocristatus,Cotingidae,,
42,2949,Ampion_rufax_L1673,Ampelion rufaxilla,rufaxilla,Ampelion rufaxilla,Ampelion rufaxilla,Ampelion rufaxilla,Cotingidae,,
43,2949,Ampion_rufax_L1673,Ampelion rufaxilla,rufaxilla,Ampelion rufaxilla,Ampelion rufaxilla,Ampelion rufaxilla,Cotingidae,,
44,2949,Ampion_rufax_L1673,Ampelion rufaxilla,rufaxilla,Ampelion rufaxilla,Ampelion rufaxilla,Ampelion rufaxilla,Cotingidae,,
45,662,Amporn_gricep_L66366,Ampelornis griseiceps,-,Ampelornis griseiceps,Ampelornis griseiceps,Ampelornis griseiceps,Thamnophilidae,,
46,662,Amporn_gricep_L66366,Ampelornis griseiceps,-,Ampelornis griseiceps,Ampelornis griseiceps,Ampelornis griseiceps,Thamnophilidae,,
47,662,Amporn_gricep_L66366,Ampelornis griseiceps,-,Ampelornis griseiceps,Ampelornis griseiceps,Ampelornis griseiceps,Thamnophilidae,,
48,1392,Anabac_amarot_L35557,Anabacerthia amaurotis,-,Anabacerthia amaurotis,Anabacerthia amaurotis,Anabacerthia amaurotis,Furnariidae,,
49,1392,Anabac_amarot_L35557,Anabacerthia amaurotis,-,Anabacerthia amaurotis,Anabacerthia amaurotis,Anabacerthia amaurotis,Furnariidae,,
50,1392,Anabac_amarot_L35557,Anabacerthia amaurotis,-,Anabacerthia amaurotis,Anabacerthia amaurotis,Anabacerthia amaurotis,Furnariidae,,
51,1394,Anabac_lichte_L25851,Anabacerthia lichtensteini,-,Anabacerthia lichtensteini,Anabacerthia lichtensteini,Anabacerthia lichtensteini,Furnariidae,,
52,1394,Anabac_lichte_L25851,Anabacerthia lichtensteini,-,Anabacerthia lichtensteini,Anabacerthia lichtensteini,Anabacerthia lichtensteini,Furnariidae,,
53,1394,Anabac_lichte_L25851,Anabacerthia lichtensteini,-,Anabacerthia lichtensteini,Anabacerthia lichtensteini,Anabacerthia lichtensteini,Furnariidae,,
54,1390,Anabac_rufata_L951,Anabacerthia ruficaudata,ruficaudata,Anabacerthia ruficaudata,Anabacerthia ruficaudata,Anabacerthia ruficaudata,Furnariidae,,
55,1390,Anabac_rufata_L951,Anabacerthia ruficaudata,ruficaudata,Anabacerthia ruficaudata,Anabacerthia ruficaudata,Anabacerthia ruficaudata,Furnariidae,,
56,1390,Anabac_rufata_L951,Anabacerthia ruficaudata,ruficaudata,Anabacerthia ruficaudata,Anabacerthia ruficaudata,Anabacerthia ruficaudata,Furnariidae,,
57,1386,Anabac_strcol_H111,Anabacerthia striaticollis,striaticollis,Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia striaticollis,Furnariidae,,
58,1386,Anabac_strcol_H111,Anabacerthia striaticollis,striaticollis,Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia striaticollis,Furnariidae,,
59,1388,Anabac_varcep_L18075,Anabacerthia variegaticeps,variegaticeps,Anabacerthia variegaticeps,Anabacerthia variegaticeps,Anabacerthia variegaticeps,Furnariidae,,
60,1388,Anabac_varcep_L18075,Anabacerthia variegaticeps,variegaticeps,Anabacerthia variegaticeps,Anabacerthia variegaticeps,Anabacerthia variegaticeps,Furnariidae,,
61,1388,Anabac_varcep_L18075,Anabacerthia variegaticeps,variegaticeps,Anabacerthia variegaticeps,Anabacerthia variegaticeps,Anabacerthia variegaticeps,Furnariidae,,
62,1358,Anabaz_dorsa_L2046,Anabazenops dorsalis,-,Anabazenops dorsalis,Anabazenops dorsalis,Anabazenops dorsalis,Furnariidae,,
63,1358,Anabaz_dorsa_L2046,Anabazenops dorsalis,-,Anabazenops dorsalis,Anabazenops dorsalis,Anabazenops dorsalis,Furnariidae,,
64,1358,Anabaz_dorsa_L2046,Anabazenops dorsalis,-,Anabazenops dorsalis,Anabazenops dorsalis,Anabazenops dorsalis,Furnariidae,,
65,1360,Anabaz_fuscus_SP94379,Anabazenops fuscus,-,Anabazenops fuscus,Anabazenops fuscus,Anabazenops fuscus,Furnariidae,,
66,1360,Anabaz_fuscus_SP94379,Anabazenops fuscus,-,Anabazenops fuscus,Anabazenops fuscus,Anabazenops fuscus,Furnariidae,,
67,1360,Anabaz_fuscus_SP94379,Anabazenops fuscus,-,Anabazenops fuscus,Anabazenops fuscus,Anabazenops fuscus,Furnariidae,,
68,1934,Anaire_alpin_NM34088,Anairetes alpinus,alpinus,Anairetes alpinus,Anairetes alpinus,Anairetes alpinus,Tyrannidae,,
69,1934,Anaire_alpin_NM34088,Anairetes alpinus,alpinus,Anairetes alpinus,Anairetes alpinus,Anairetes alpinus,Tyrannidae,,
70,1940,Anaire_ferna_CM120730,Anairetes fernandezianus,?,Anairetes fernandezianus,Anairetes fernandezianus,Anairetes fernandezianus,Tyrannidae,,
71,1940,Anaire_ferna_CM120730,Anairetes fernandezianus,?,Anairetes fernandezianus,Anairetes fernandezianus,Anairetes fernandezianus,Tyrannidae,,
72,1936,Anaire_flaviro_CU52375,Anairetes flavirostris,flavirostris,Anairetes flavirostris,Anairetes flavirostris,Anairetes flavirostris,Tyrannidae,,
73,1936,Anaire_flaviro_CU52375,Anairetes flavirostris,flavirostris,Anairetes flavirostris,Anairetes flavirostris,Anairetes flavirostris,Tyrannidae,,
74,1930,Anaire_nigrosta_F391921,Anairetes nigrocristatus,-,Anairetes nigrocristatus,Anairetes nigrocristatus,Anairetes nigrocristatus,Tyrannidae,,
75,1930,Anaire_nigrosta_F391921,Anairetes nigrocristatus,-,Anairetes nigrocristatus,Anairetes nigrocristatus,Anairetes nigrocristatus,Tyrannidae,,
76,1930,Anaire_nigrosta_F391921,Anairetes nigrocristatus,-,Anairetes nigrocristatus,Anairetes nigrocristatus,Anairetes nigrocristatus,Tyrannidae,,
77,1938,Anaire_parlus_A12192,Anairetes parulus,parulus,Anairetes parulus,Anairetes parulus,Anairetes parulus,Tyrannidae,,
78,1938,Anaire_parlus_A12192,Anairetes parulus,parulus,Anairetes parulus,Anairetes parulus,Anairetes parulus,Tyrannidae,,
79,1938,Anaire_parlus_A12192,Anairetes parulus,parulus,Anairetes parulus,Anairetes parulus,Anairetes parulus,Tyrannidae,,
80,1932,Anaire_regide_LSU72421,Anairetes reguloides,reguloides,Anairetes reguloides,Anairetes reguloides,Anairetes reguloides,Tyrannidae,,
81,1932,Anaire_regide_LSU72421,Anairetes reguloides,reguloides,Anairetes reguloides,Anairetes reguloides,Anairetes reguloides,Tyrannidae,,
82,1932,Anaire_regide_LSU72421,Anairetes reguloides,reguloides,Anairetes reguloides,Anairetes reguloides,Anairetes reguloides,Tyrannidae,,
83,1412,Ancist_strgil_L10637,Ancistrops strigilatus,-,Ancistrops strigilatus,Ancistrops strigilatus,Ancistrops strigilatus,Furnariidae,,
84,1412,Ancist_strgil_L10637,Ancistrops strigilatus,-,Ancistrops strigilatus,Ancistrops strigilatus,Ancistrops strigilatus,Furnariidae,,
85,3065,Antilo_boker_Abo1,Antilophia bokermanni,-,Antilophia bokermanni,Antilophia bokermanni,Antilophia bokermanni,Pipridae,,
86,3065,Antilo_boker_Abo1,Antilophia bokermanni,-,Antilophia bokermanni,Antilophia bokermanni,Antilophia bokermanni,Pipridae,,
87,3065,Antilo_boker_Abo1,Antilophia bokermanni,-,Antilophia bokermanni,Antilophia bokermanni,Antilophia bokermanni,Pipridae,,
88,3067,Antilo_galata_L14634,Antilophia galeata,-,Antilophia galeata,Antilophia galeata,Antilophia galeata,Pipridae,,
89,3067,Antilo_galata_L14634,Antilophia galeata,-,Antilophia galeata,Antilophia galeata,Antilophia galeata,Pipridae,,
90,3067,Antilo_galata_L14634,Antilophia galeata,-,Antilophia galeata,Antilophia galeata,Antilophia galeata,Pipridae,,
91,1530,Anumbi_annum_A12088,Anumbius annumbi,-,Anumbius annumbi,Anumbius annumbi,Anumbius annumbi,Furnariidae,,
92,1530,Anumbi_annum_A12088,Anumbius annumbi,-,Anumbius annumbi,Anumbius annumbi,Anumbius annumbi,Furnariidae,,
93,1530,Anumbi_annum_A12088,Anumbius annumbi,-,Anumbius annumbi,Anumbius annumbi,Anumbius annumbi,Furnariidae,,
94,200017,Aphano_audax_L2210,Aphanotriccus audax,-,Aphanotriccus audax,Aphanotriccus audax,Aphanotriccus audax,Tyrannidae,,
95,200017,Aphano_audax_L2210,Aphanotriccus audax,-,Aphanotriccus audax,Aphanotriccus audax,Aphanotriccus audax,Tyrannidae,,
96,2412,Aphano_caplis_W69952,Aphanotriccus capitalis,-,Aphanotriccus capitalis,Aphanotriccus capitalis,Aphanotriccus capitalis,Tyrannidae,,
97,2412,Aphano_caplis_W69952,Aphanotriccus capitalis,-,Aphanotriccus capitalis,Aphanotriccus capitalis,Aphanotriccus capitalis,Tyrannidae,,
98,1478,Aphras_masfue_AMNH156338,Aphrastura masafuerae,-,Aphrastura masafuerae,Aphrastura masafuerae,Aphrastura masafucrae,Furnariidae,,name differs
99,1478,Aphras_masfue_AMNH156338,Aphrastura masafuerae,-,Aphrastura masafuerae,Aphrastura masafuerae,Aphrastura masafucrae,Furnariidae,,name differs
100,1476,Aphras_spicau_A12110,Aphrastura spinicauda,spinicauda,Aphrastura spinicauda,Aphrastura spinicauda,Aphrastura spinicauda,Furnariidae,,
101,1476,Aphras_spicau_A12110,Aphrastura spinicauda,spinicauda,Aphrastura spinicauda,Aphrastura spinicauda,Aphrastura spinicauda,Furnariidae,,
102,1476,Aphras_spicau_A12110,Aphrastura spinicauda,spinicauda,Aphrastura spinicauda,Aphrastura spinicauda,Aphrastura spinicauda,Furnariidae,,
103,660,Aprosi_disju_SP77992,Aprositornis disjuncta,-,Aprositornis disjuncta,Aprositornis disjuncta,Aprositornis disjuncta,Thamnophilidae,,
104,660,Aprosi_disju_SP77992,Aprositornis disjuncta,-,Aprositornis disjuncta,Aprositornis disjuncta,Aprositornis disjuncta,Thamnophilidae,,
105,660,Aprosi_disju_SP77992,Aprositornis disjuncta,-,Aprositornis disjuncta,Aprositornis disjuncta,Aprositornis disjuncta,Thamnophilidae,,
106,3312,Aratinga_L38084,Aratinga aurea,?,Aratinga aurea,Aratinga aurea,NA,NA,,outgroup
107,3322,Artamus_L73536,Artamus leucorynchus,?,Artamus leucorynchus,Artamus leucorynchus,NA,NA,,outgroup
108,2633,Arundi_leuceph_L38036,Arundinicola leucocephala,-,Arundinicola leucocephala,Arundinicola leucocephala,Arundinicola leucocephala,Tyrannidae,,
109,2633,Arundi_leuceph_L38036,Arundinicola leucocephala,-,Arundinicola leucocephala,Arundinicola leucocephala,Arundinicola leucocephala,Tyrannidae,,
110,2633,Arundi_leuceph_L38036,Arundinicola leucocephala,-,Arundinicola leucocephala,Arundinicola leucocephala,Arundinicola leucocephala,Tyrannidae,,
111,1551,Asthen_antide_L56816,Asthenes anthoides,-,Asthenes anthoides,Asthenes anthoides,Asthenes anthoides,Furnariidae,,
112,1551,Asthen_antide_L56816,Asthenes anthoides,-,Asthenes anthoides,Asthenes anthoides,Asthenes anthoides,Furnariidae,,
113,1551,Asthen_antide_L56816,Asthenes anthoides,-,Asthenes anthoides,Asthenes anthoides,Asthenes anthoides,Furnariidae,,
114,200432,Asthen_vilbae_KU29251,Asthenes vilcabambae,ayacuchensis,Asthenes ayacuchensis,Asthenes ayacuchensis,Asthenes ayacuchensis,Furnariidae,,
115,200432,Asthen_vilbae_KU29251,Asthenes vilcabambae,ayacuchensis,Asthenes ayacuchensis,Asthenes ayacuchensis,Asthenes ayacuchensis,Furnariidae,,
116,1545,Asthen_baer_ARTC383,Asthenes baeri,baeri,Asthenes baeri,Asthenes baeri,Asthenes baeri,Furnariidae,,
117,1543,Asthen_berle_AMNH348840,Asthenes berlepschi,-,Asthenes berlepschi,Asthenes berlepschi,Asthenes berlepschi,Furnariidae,,
118,1543,Asthen_berle_AMNH348840,Asthenes berlepschi,-,Asthenes berlepschi,Asthenes berlepschi,Asthenes berlepschi,Furnariidae,,
119,1589,Asthen_cory_PhAMC1238,Asthenes coryi,-,Asthenes coryi,Asthenes coryi,Asthenes coryi,Furnariidae,,
120,1536,Asthen_dorb_L103873,Asthenes dorbignyi,arequipae,Asthenes dorbignyi,Asthenes dorbignyi,Asthenes arequipae,Furnariidae,,
121,1538,Asthen_dorb_L58464,Asthenes dorbignyi,usheri (huancavelicae group),Asthenes dorbignyi,Asthenes dorbignyi,Asthenes usheri,Furnariidae,,
122,1534,Asthen_dorb_KU9823,Asthenes dorbignyi,dorbignyi,Asthenes dorbignyi,Asthenes dorbignyi,Asthenes dorbignyi,Furnariidae,,
123,1534,Asthen_dorb_KU9823,Asthenes dorbignyi,dorbignyi,Asthenes dorbignyi,Asthenes dorbignyi,Asthenes dorbignyi,Furnariidae,,
124,1536,Asthen_dorb_L103873,Asthenes dorbignyi,arequipae,Asthenes dorbignyi,Asthenes dorbignyi,Asthenes arequipae,Furnariidae,,
125,1538,Asthen_dorb_L58464,Asthenes dorbignyi,usheri (huancavelicae group),Asthenes dorbignyi,Asthenes dorbignyi,Asthenes usheri,Furnariidae,,
126,1540,Asthen_dorb_LSUMZ61325,Asthenes dorbignyi,Ancash form,Asthenes dorbignyi,Asthenes dorbignyi,NA,Furnariidae,,not in range maps
127,1542,Asthen_dorb_LSUMZ61387,Asthenes dorbignyi,Ayacucho form,Asthenes dorbignyi,Asthenes dorbignyi,NA,Furnariidae,,not in range maps
128,1534,Asthen_dorb_KU9823,Asthenes dorbignyi,dorbignyi,Asthenes dorbignyi,Asthenes dorbignyi,Asthenes dorbignyi,Furnariidae,,
129,1540,Asthen_dorb_LSUMZ61325,Asthenes dorbignyi,Ancash form,Asthenes dorbignyi,Asthenes dorbignyi,NA,Furnariidae,,not in range maps
130,1542,Asthen_dorb_LSUMZ61387,Asthenes dorbignyi,Ayacucho form,Asthenes dorbignyi,Asthenes dorbignyi,NA,Furnariidae,,not in range maps
131,NA,,Asthenes dorbignyi,,Asthenes dorbignyi,Asthenes dorbignyi,Asthenes huancavelicae,Furnariidae,,missing from tree and split by IUCN
132,1555,Asthen_flamata_L31690,Asthenes flammulata,flammulata,Asthenes flammulata,Asthenes flammulata,Asthenes flammulata,Furnariidae,,
133,1555,Asthen_flamata_L31690,Asthenes flammulata,flammulata,Asthenes flammulata,Asthenes flammulata,Asthenes flammulata,Furnariidae,,
134,200001,Asthen_fulnos_H1000,Asthenes fuliginosa,,Asthenes fuliginosa,Asthenes fuliginosa,Asthenes fuliginosa,Furnariidae,,
135,200002,Asthen_fulnos_H2552,Asthenes fuliginosa,,Asthenes fuliginosa,Asthenes fuliginosa,Asthenes fuliginosa,Furnariidae,,
136,1593,Asthen_fulnos_L30039,Asthenes fuliginosa,fuliginosa,Asthenes fuliginosa,Asthenes fuliginosa,Asthenes fuliginosa,Furnariidae,,
137,200001,Asthen_fulnos_H1000,Asthenes fuliginosa,,Asthenes fuliginosa,Asthenes fuliginosa,Asthenes fuliginosa,Furnariidae,,
138,200002,Asthen_fulnos_H2552,Asthenes fuliginosa,,Asthenes fuliginosa,Asthenes fuliginosa,Asthenes fuliginosa,Furnariidae,,
139,1593,Asthen_fulnos_L30039,Asthenes fuliginosa,fuliginosa,Asthenes fuliginosa,Asthenes fuliginosa,Asthenes fuliginosa,Furnariidae,,
140,1593,Asthen_fulnos_L30039,Asthenes fuliginosa,fuliginosa,Asthenes fuliginosa,Asthenes fuliginosa,Asthenes fuliginosa,Furnariidae,,
141,1595,Asthen_gririn_L32122,Asthenes griseomurina,-,Asthenes griseomurina,Asthenes griseomurina,Asthenes griseomurina,Furnariidae,,
142,1595,Asthen_gririn_L32122,Asthenes griseomurina,-,Asthenes griseomurina,Asthenes griseomurina,Asthenes griseomurina,Furnariidae,,
143,1573,Asthen_harte_L1271,Asthenes harterti,harterti,Asthenes harterti,Asthenes harterti,Asthenes harterti,Furnariidae,,
144,1573,Asthen_harte_L1271,Asthenes harterti,harterti,Asthenes harterti,Asthenes harterti,Asthenes harterti,Furnariidae,,
145,1573,Asthen_harte_L1271,Asthenes harterti,harterti,Asthenes harterti,Asthenes harterti,Asthenes harterti,Furnariidae,,
146,1575,Asthen_heleri_L514,Asthenes helleri,-,Asthenes helleri,Asthenes helleri,Asthenes helleri,Furnariidae,,
147,1575,Asthen_heleri_L514,Asthenes helleri,-,Asthenes helleri,Asthenes helleri,Asthenes helleri,Furnariidae,,
148,1585,Asthen_hete_LSUMZ68096,Asthenes heterura,-,Asthenes heterura,Asthenes heterura,Asthenes heterura,Furnariidae,,
149,1585,Asthen_hete_LSUMZ68096,Asthenes heterura,-,Asthenes heterura,Asthenes heterura,Asthenes heterura,Furnariidae,,
150,1549,Asthen_hudso_SB6349,Asthenes hudsoni,-,Asthenes hudsoni,Asthenes hudsoni,Asthenes hudsoni,Furnariidae,,
151,1549,Asthen_hudso_SB6349,Asthenes hudsoni,-,Asthenes hudsoni,Asthenes hudsoni,Asthenes hudsoni,Furnariidae,,
152,1549,Asthen_hudso_SB6349,Asthenes hudsoni,-,Asthenes hudsoni,Asthenes hudsoni,Asthenes hudsoni,Furnariidae,,
153,1565,Asthen_humil_L103801,Asthenes humilis,humilis,Asthenes humilis,Asthenes humilis,Asthenes humilis,Furnariidae,,
154,1565,Asthen_humil_L103801,Asthenes humilis,humilis,Asthenes humilis,Asthenes humilis,Asthenes humilis,Furnariidae,,
155,1547,Asthen_luiza_UFMG3066,Asthenes luizae,-,Asthenes luizae,Asthenes luizae,Asthenes luizae,Furnariidae,,
156,1547,Asthen_luiza_UFMG3066,Asthenes luizae,-,Asthenes luizae,Asthenes luizae,Asthenes luizae,Furnariidae,,
157,1547,Asthen_luiza_UFMG3066,Asthenes luizae,-,Asthenes luizae,Asthenes luizae,Asthenes luizae,Furnariidae,,
158,1559,Asthen_maccau_ACBFMH14,Asthenes maculicauda,-,Asthenes maculicauda,Asthenes maculicauda,Asthenes maculicauda,Furnariidae,,
159,1559,Asthen_maccau_ACBFMH14,Asthenes maculicauda,-,Asthenes maculicauda,Asthenes maculicauda,Asthenes maculicauda,Furnariidae,,
160,1567,Asthen_modsta_L103883,Asthenes modesta,modesta,Asthenes modesta,Asthenes modesta,Asthenes modesta,Furnariidae,,
161,1567,Asthen_modsta_L103883,Asthenes modesta,modesta,Asthenes modesta,Asthenes modesta,Asthenes modesta,Furnariidae,,
162,1567,Asthen_modsta_L103883,Asthenes modesta,modesta,Asthenes modesta,Asthenes modesta,Asthenes modesta,Furnariidae,,
163,1569,Asthen_morrae_GCMN215,Asthenes moreirae,-,Asthenes moreirae,Asthenes moreirae,Asthenes moreirae,Furnariidae,,
164,1569,Asthen_morrae_GCMN215,Asthenes moreirae,-,Asthenes moreirae,Asthenes moreirae,Asthenes moreirae,Furnariidae,,
165,1581,Asthen_otton_L61395,Asthenes ottonis,-,Asthenes ottonis,Asthenes ottonis,Asthenes ottonis,Furnariidae,,
166,1581,Asthen_otton_L61395,Asthenes ottonis,-,Asthenes ottonis,Asthenes ottonis,Asthenes ottonis,Furnariidae,,
167,1583,Asthen_otton_LSUMZ49674,Asthenes ottonis,taxon nov.,Asthenes ottonis,Asthenes ottonis,Asthenes ottonis,Furnariidae,,
168,1581,Asthen_otton_L61395,Asthenes ottonis,-,Asthenes ottonis,Asthenes ottonis,Asthenes ottonis,Furnariidae,,
169,1583,Asthen_otton_LSUMZ49674,Asthenes ottonis,taxon nov.,Asthenes ottonis,Asthenes ottonis,Asthenes ottonis,Furnariidae,,
170,1587,Asthen_palbra_L49625,Asthenes palpebralis,-,Asthenes palpebralis,Asthenes palpebralis,Asthenes palpebralis,Furnariidae,,
171,1587,Asthen_palbra_L49625,Asthenes palpebralis,-,Asthenes palpebralis,Asthenes palpebralis,Asthenes palpebralis,Furnariidae,,
172,1587,Asthen_palbra_L49625,Asthenes palpebralis,-,Asthenes palpebralis,Asthenes palpebralis,Asthenes palpebralis,Furnariidae,,
173,1591,Asthen_perjan_IC36847,Asthenes perijana,-,Asthenes perijana,Asthenes perijana,Asthenes perijana,Furnariidae,,
174,1591,Asthen_perjan_IC36847,Asthenes perijana,-,Asthenes perijana,Asthenes perijana,Asthenes perijana,Furnariidae,,
175,1579,Asthen_pudi_L2075,Asthenes pudibunda,pudibunda,Asthenes pudibunda,Asthenes pudibunda,Asthenes pudibunda,Furnariidae,,
176,1571,Asthen_pyrleu_L56783,Asthenes pyrrholeuca,pyrrholeuca,Asthenes pyrrholeuca,Asthenes pyrrholeuca,Asthenes pyrrholeuca,Furnariidae,,
177,1571,Asthen_pyrleu_L56783,Asthenes pyrrholeuca,pyrrholeuca,Asthenes pyrrholeuca,Asthenes pyrrholeuca,Asthenes pyrrholeuca,Furnariidae,,
178,1571,Asthen_pyrleu_L56783,Asthenes pyrrholeuca,pyrrholeuca,Asthenes pyrrholeuca,Asthenes pyrrholeuca,Asthenes pyrrholeuca,Furnariidae,,
179,1563,Asthen_scleri_ARTC352,Asthenes sclateri,sclateri,Asthenes sclateri,Asthenes sclateri,Asthenes wyatti,Furnariidae,,split in tree
180,1563,Asthen_scleri_ARTC352,Asthenes sclateri,sclateri,Asthenes sclateri,Asthenes sclateri,Asthenes wyatti,Furnariidae,,split in tree
181,1553,Asthen_urusis_L7689,Asthenes urubambensis,urubambensis?,Asthenes urubambensis,Asthenes urubambensis,Asthenes urubambensis,Furnariidae,,
182,1553,Asthen_urusis_L7689,Asthenes urubambensis,urubambensis?,Asthenes urubambensis,Asthenes urubambensis,Asthenes urubambensis,Furnariidae,,
183,1577,Asthen_vilbae_F390681,Asthenes vilcabambae,vilcabambae,Asthenes vilcabambae,Asthenes vilcabambae,Asthenes vilcabambae,Furnariidae,,
