"","species","dr.statistic","tb.statistic","nh.statistic","div","elev.mid","elev.max","elev.range","lat.mid","lat.max","lat.range","temp","temp.stability","temp.seasonality","min.temp.cold.q","precip","precip.stability","precip.seasonality","min.precip.dry.q"
"Contop_hisp_K6337","Contop_hisp_K6337",-0.470265571456579,0.0304642174721586,15.5149632667909,4,900,1800,1800,19.3237915040002,19.9511108400002,1.2546386720001,242.8905864,36.17267308,1269.459041,193.9500764,1372.653782,664.6593023,41.00677075,169.0246185
"Contop_lati_L11330","Contop_lati_L11330",-0.774683537506693,0.0964458982682523,16.0720413539752,5,75,150,150,16.1209726330002,18.5159721370001,4.7899990079999,255.3442289,47.86081657,1039.126868,234.9917718,1756.965621,459.5533014,36.31803853,212.9949507
"Contop_viren_MVZ168655","Contop_viren_MVZ168655",-1.17512898718895,0.965125466478882,16.6708730081342,15,750,1500,1500,39.2543029785002,50.5971069340002,22.6856079110001,112.085051,187.9219829,9024.918493,-63.70944362,999.4512093,126.5918642,27.83990684,162.873583
"Contop_cinreu_LSU48414","Contop_cinreu_LSU48414",-1.13915989346134,0.873917952174579,16.6617195681342,595,1400,2800,2800,8.41302490250018,21.6099243170002,26.393798829,239.935384,36.68096781,1520.271741,174.7154063,1511.256136,188.3295049,63.24839985,99.47319458
"Contop_sorlus_K4994","Contop_sorlus_K4994",-1.13915989346134,0.873917952174579,16.6617195681342,53,1500,3000,3000,37.7247924805002,67.8059082030002,60.1622314450001,67.15859198,167.5088986,8593.808604,-95.55242491,581.7500948,156.5317251,52.9392171,57.27006975
"Contop_nigcen_LSUMZ5427","Contop_nigcen_LSUMZ5427",-1.15256672191463,0.860001822258763,16.6697909081342,488,1700,3000,2600,2.8897417924999,1.64853001900008,9.07654362299997,211.0139229,44.06755061,621.039058,159.1877224,2284.179296,420.1997032,23.00144845,410.0450062
"Contop_alblar_YPM139867","Contop_alblar_YPM139867",-1.15256672191463,0.860001822258763,16.6697909081342,201,75,150,150,2.88479614250014,5.29968261700009,4.82977294899991,254.2822891,35.00519413,810.453141,219.2739988,2512.684295,179.8733043,46.26552861,194.686894
"Contop_paldus_MVZ149935","Contop_paldus_MVZ149935",-1.37862856621603,1.20542230329454,17.2659003209731,7,1150,2000,1700,18.1153869630002,18.5270996090001,0.8234252919999,238.5907725,42.08882695,987.6928972,210.8944828,1866.048789,688.7491783,40.93958083,221.6893116
"Contop_fumgat_L22881","Contop_fumgat_L22881",-0.715209167321835,0.258611848336503,16.0526825719239,714,1450,2800,2700,4.38473510750012,10.8654785160001,12.961486817,206.1964299,41.21674168,894.0696572,150.8841257,2081.222246,350.1164278,53.96275586,195.6534243
"Contop_lugu_L16041","Contop_lugu_L16041",-0.715209167321835,0.258611848336503,16.0526825719239,98,1575,2250,1350,9.63619995100015,10.4321289060002,1.59185791000007,175.9084264,40.18604681,412.5032862,147.9761126,3536.586307,497.7086483,42.02601419,338.7710294
"Contop_pernax_L38710","Contop_pernax_L38710",-1.02750919510853,0.470887613416575,16.6429846348009,95,1700,3000,2600,23.9989013675002,35.2537231450001,22.5096435549999,179.3831539,69.50139038,3530.354451,67.34768911,930.5212624,194.7900815,84.26330565,39.79254973
"Contop_ocheus_L19784","Contop_ocheus_L19784",-1.38298394175603,1.19872304843971,17.2697167029176,55,2600,3000,800,9.90737915050013,10.0662841800001,0.31781005899991,118.8010956,46.14423285,397.0802782,90.11393768,3562.882676,418.175097,45.47782173,301.1800193
"Contop_coope_A17527","Contop_coope_A17527",-1.53851756289637,1.31525529045169,17.8764052552184,22,1675,3350,3350,50.4362792965003,68.4492797850003,36.0260009770001,24.17532479,211.816434,10286.18527,-160.0792426,654.4538188,248.7242246,43.24446515,87.33040241
"Mitrep_olieus_LSU22720","Mitrep_olieus_LSU22720",-1.55297661509876,1.08277046701482,18.441060534496,457,1650,2300,1300,11.0724487304999,5.12030029299996,11.9042968749998,182.0596202,48.76448302,956.747233,119.4109657,1684.041518,317.0426293,45.48724511,181.6981007
"Mitrep_phacus_W93393","Mitrep_phacus_W93393",-1.55297661509876,1.08277046701482,18.441060534496,206,1750,3500,3500,15.6097106930002,30.0853271480002,28.9512329100001,197.7665421,52.88824701,2238.523143,111.4687074,1768.88366,503.8267556,80.70487732,157.1090451
"Empinax_oberh_L48075","Empinax_oberh_L48075",-0.846545546718522,0.259352811514434,16.1266085947192,19,1825,3000,2350,46.6670227045002,60.7999267570002,28.265808105,64.6826905,158.5754167,8237.581533,-89.01003291,479.6186973,133.448725,39.17553387,57.99290053
"Empinax_affin_VZ184243","Empinax_affin_VZ184243",-0.846545546718522,0.259352811514434,16.1266085947192,81,2550,3500,1900,22.3278808595001,28.6450805670001,12.634399415,155.9710067,80.55221531,2819.99064,45.95732397,878.7439234,140.8272984,91.71675508,33.01857536
"Empinax_hammo_L47262","Empinax_hammo_L47262",-1.21404179838351,0.951786052824595,16.719829298508,16,2550,3000,900,54.2644958495002,67.7047119140001,26.8804321289999,30.8197844,137.2098928,8353.123552,-129.1194401,458.041362,108.523555,30.75891823,71.16494113
